link,base-whisper,tiny-whisper,googleSR,Houndify,base-tiny,base-google,base-houndify
https://www.tiktok.com/@vicblends/video/7304049323598204203?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143," I got a question. I give out free haircuts. I was wondering if you had some time today, man. I would love to bless you with a haircut. You take a knee, boy? I think I can make you look pretty good, man. Sure. I'm positive. What are you going to do now? Right here. I got my table and my chair. Sure. Why not? Very good. Come on, man. I got you. What is your name and what do you do? Glenn and I'm a software developer. And how long have you been a software developer for? 26 years. It's a long time to be in a career field. Yeah. Same company, too. Oh, wow. That's a blessing even more. It really is. So, working for it. See, I'm 58 now. So, I'm hoping 62. That's what I'm hoping to shoot. A couple more years. That's a long more years. A couple more years. You're almost there. How do you feel? I know people have had that problem where, you know, they don't like their 50s. I mean, I really enjoy my 50s. What is the best part about being 50? I think just the relaxation, not worrying so much about things and the boring. I'm not worrying about how people would perceive you. I'm just going to worry about you about that. What do you think the process is to get to a point like that? Competency, self. Competency, who gefunden yourself? Who you are? How you know yourself? And how you perceive yourself? That's what it comes out to. What do you think is the biggest difference in your generation to this one? I think this generation is much for you to, you know, explore things that, when I was growing up, I don't think we had the opportunity to do it. And opportunity to be an opportunity to do it. much for you to explore things that when I was growing up I don't think we had the opportunity to do it and opportunities that come forward in that I don't think we have a million. I could definitely agree to that. This generation stands up for the rights a lot whether people like to give credit for it or not but we believe in equality in a big way so acceptance of a person for whoever they are has been so big for us. You stay by yourself? Yeah, they're by themselves. Never marry or anything so yeah. Was that ever a goal for you? I don't think when you're younger you expect that you're just going to get married but over times you just realize that maybe there's just not somebody that you really are interested in. I know how you got good friends that's what I have now. I think that helps. Have you gave up the idea of being married? No. No. You all you never know man. Who knows if this haircut I do. Might have somebody for you by the time you get home man. You can never give up on the idea of love though. That is true. You can't. I love that man. I mean I am dating someone right now. Okay. And we get along really well and I think we're a good match but you know just playing it by ear and seeing how it feels about each other. It's the best way to do it man. It's a play by ear. Take a day by day. What do you think the best piece of advice that you ever heard? Be kind. Just to be kind of people. You don't know what people are going through at any given time and so don't just assume you know what somebody is doing. Any kind of people is something I think is getting lost. I think it's the most important thing to be kind to our shoulders. You never know how far one small gesture could do for somebody. Oh look at that dude. You look at me looking smooth. Yes sir. Yes sir. That's good. I like it. And I appreciate you. Thank you so much for the trust. Yeah. Thank you. It means a lot. I hope you get feeling better. Look at them."," I got a question. I give out free haircuts. I wanted to give us a time today, man. I would love to bless you with a haircut. Do you take an evil? I think I can make you look pretty good, man. Do you hair? I'm positive. We're gonna do that. Right here, I got my table and my chair. I'm true. What a very good. Come on, and I got you. What is your name and what do you do? Glenn and I'm a soccer developer. And how long have you been a soccer developer for 26 years? So long, it's trying to be in a career field. Yeah, yeah. Same company too. A while. That's the best thing you can do more. It is. How long have you played? I'm so working for it. I'm 59, 58 now. So I'm hoping 62. That's what I'm hoping you. A couple more years. That's right. Four more years. Four more years. You almost there. How do you feel? I know people have that problem where they don't like their 50s. Man, I really do want to get these. He just care what people think about it. He's the best part about the 50s. I think just the relaxation. I'm not worrying so much about things. I'm not worrying about how people will perceive you. I'm just going to worry about that. What do you think the process is to get to a point like that? Competits in yourself. Competits at who you are. How do you know yourself? And how you perceive yourself. That's what it comes about. What do you think is the biggest difference from your generation to this one? I think this generation is much for you to explore things that when I was going up, I don't think we had that too. The dream and the opportunities that come forward that I don't think we had when you were young. I could definitely agree to that. I mean, this generation stands up for the rights a lot. Whether people like to get credit for it or not. We believe in equality in a big way. So acceptance of a person for whoever it is has been so big for us. Yeah. You stay by yourself? Yeah, live by yourself. Never marry or anything. So yeah. Was that ever a go for you? I think when you're younger you expect that you're just going to get married. But over time you just realize that maybe there's just not somebody that's really really Karin or his family. And all you got good friends, that's what I have now. I think that you know. Have you gave up the idea of being married? No. No. You never know. Who knows if this haircut I do. I have somebody for you by the time you get home. I can never give up on the idea. I love the idea. You can. I love that man. I mean, I am dating someone right now. Okay. And we get along really well. I think we're a good match. But you know, just playing it by ear and seeing Karin's real value. The best way to do it man is to play it by ear. Take it day by day. What do you think the best piece of advice that you've ever heard? Be top. Just to be kind of equal. You don't know. What people are going through at any given time. And so don't just assume you know what somebody's going through. Any kind of people is something I think is getting lost. I think it's the most important thing to be kind to our others. We never know how far one small gesture can do for somebody. Oh, look at that. Did you recognize that? I mean, I can smooth. Yes sir. Yes sir. It's good. I like it. And I appreciate you. Thank you so much for the trust. Yeah. Thank you. Thank you. Thank you.",0,0,0.1226209501670783,0.0005625879043600563,0.0005625879043600563
https://www.tiktok.com/@keenanbank/video/7305854663285312773?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143," How much for this tomato? Can I just buy one? Yeah, like $25. That's it? Yeah. I'm just hungry, I want to make a sandwich. Yeah, right? I can buy one? Yeah. I'll just $25. Yeah. $25. Can I donate today? To what? You. All the money is going to that. Let's bring it to that. So you don't want your face? So it will go to community later? Absolutely. Yeah. I think everything. Oh, in that case, can I donate more? No. No, like hey, what are you out here doing? Are you like? I'm donating and buying tomatoes. I don't want to be like a burger. No, I'm a customer. You can actually keep the tomato. I should go. I'll keep it. Do you have a bag? Give them back some money. I was going to and then he gave me $10. Thank you. Here's your change for the first thing. I want to donate it. Are you sure? Yeah. Buy yourself some lunch. I already keep it. We get like $7 vouchers. Oh, okay. Okay, maybe I'll buy a drink or something. Yeah. It's because who likes change? A lot of people actually. Yeah. I'm not. I'm not. I'm not. I'm not. A lot of people actually. Not. Oh, wait a drink. There's so many lemonade stands. What's your name? I'm Peter. Nice to meet you. I have one message to the world. What would that be? Love is love. Be happy and it's really it. Awesome. Good job."," How much for this tomato? Can I just buy one? Yeah, like 25 cents. That's it? Yeah. I'm just hungry. I want to make a sandwich. I don't know, right? I can buy one? Yeah. Just 25 cents. Okay. You're so happy about it. Can I donate today? See what? You. All the money is going to that. Let's bring it to that. So you don't want your money? So it will go to community-litre. Absolutely. Yeah. Oh, in that case, can I donate more? No, I hate. What are you about here doing? Are you going to donate and buying tomatoes? No, I'm not going to do that. No, I'm not going to do that. I'm going to do that. You can actually keep it tomato. I did not want to do it. I should go like this. I'll keep it. Do you have a bag? I don't. You want to buy some money. I was going to do it. Then he gave me $10. I knew that. Thank you. Here's your change for the birthday. I want to donate it. Are you sure? Yeah. Buy yourself some lunch. I already keep going. Did it? We get like little $7 vouchers. Oh, okay. Okay. We'll get maybe on my drinkers. Yeah. Because we like strange. A lot of people actually. No. We're going to drink. We're so many lemonade stands. What's your name? Press up. I'm kidding. I want the message to the world. What would that be? We're always loved. We happy and it's really it. Awesome. Good job.",can I just buy one I'm just hungry and I want to make a sandwich for 25 minutes,0,0.3651903651903652,0.10526315789473684,0.0015735641227380016
https://www.tiktok.com/@dancookedit/video/7294418505070398766?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143," How did the biggest Chipotle burrito in the world just to see how much it would cost? And the price of it actually really surprised me. I'm just trying to get the biggest burrito possible. Now don't get me wrong, I really love Chipotle, but in the past two years they've increased their prices four times. Per reference the normal burrito that I ordered cost almost $17. So is it more affordable to get a monster burrito instead? They put down three tortillas and started loading it with stuff, starting with white rice and triple black beans. At this point they already needed two people to move it to the side. They then put three scoops of chicken in all of the toppings, tomato, hot sauce, sour cream, corn, cheese, double guacamole and lettuce. But when they try to roll it up, it did not go as planned. With the power of two people they couldn't get everything to fit into the three tortillas, so they grabbed another one and added it to the middle. But these employees had some serious burrito rolling skills and after a bit of struggling they were finally able to roll it up and make the biggest burrito I have ever seen. They then packaged it very nicely for me and the total price for this triple burrito was 2327."," I ordered the biggest Chipotle burrito in the world just to see how much it would cost. In the price of it actually really surprised me. I'm just trying to get the biggest burrito. Awesome. Now don't get me wrong. I really love Chipotle, but in the past two years they've increased their prices four times. Her reference the normal burrito that I ordered cost almost $17. So isn't more affordable to get a monster burrito instead? They put down three tortillas and started loading it with stuff. Starting with white rice and triple black beans. At this point they heard he needed two people to move it to the side. They then put three scoops of chicken in all of the toppings. Tomato, hot sauce, sour cream, corn, cheese, double guacamole and lettuce. But when they try to roll it up, it did not go as planned. With the power of two people, they couldn't get everything to fit into the three tortillas. So they grabbed another one and added it to the middle. But these employees had some serious burrito rolling skills and after a bit of struggling, they were finally able to roll it up and make the biggest burrito I have ever seen. They then packaged it very nicely for me and the total price for this triple burrito was 2327.",what are the biggest Chipotle burrito in the world just to see how much it would cost the price of it actually really surprised me I'm just trying to get the biggest burrito possible now don't get me wrong I really love Chipotle but in the past two years they've increased their prices four times for reference the normal burrito that I order cost almost $17 so is it more affordable to get a monster burrito instead they put down three tortillas and started loading it with stuff starting with white rice and triple black beans at this point people to move it to the side then put three scoops of chickens tomato sauce with the power of two people that they couldn't get everything to fit into the three tortillas so they grabbed another one and added it to the middle but these employees had some serious burrito rolling skills and after a bit of struggling they were finally able to roll it up and make the biggest burrito I have ever seen the very nice for me and the total price for this triple burrito was 2327,0,0.5330073349633252,0.6363230700580098,0.0
https://www.tiktok.com/@championsleague/video/7307236577925729569?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143, I shit my wife yourbrush and I don't have anyone And don't let your Adobe artist tell jedes чего que tu devastating If you let me I'm not of you believe," I'm not calling you when I'm one of that. You are my only year without to hurt you. And finally I was living with you. And now I've just had one hand... again... What does it mean to you? What do you mean by heaven? Oh, that's it! The joy.... You made me just a lecture.",0,0,0.04245283018867924,0.0,0.0
https://www.tiktok.com/@lookalike.tv/video/7287589563147734318?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143," Every time I say Oh, I feel the freedom to my home I've been lonely too long For I can't be so strong To change the form and take my home I need you through There's no time I'll ever go through I'm sorry, sorry, sorry I'm sharing, sharing, lady Go into the ocean Love is where you're finding Listen to your heart I'm sharing, sharing, lady I live in the ocean It's always like the first time You see the people I'm sharing, sharing, lady I'm the blackest woman I've ever been Listen to your heart I'm sharing, sharing, lady Go into the ocean And you'll be waiting You'll be waiting You'll be waiting You'll be waiting", We've never done that the same We've never dreamed of my own I've been lonely too long But I can't be so strong Change from a man to my own I need you to go There's no time I'll never go I'll see you soon I'll share with you every lady Go into my love share Love me swear you find In the center of your heart I share with you every lady I live in the ocean Always my first life is sweet Take your ball I'll show you the life of your life This is the world I'll live in the same I'll show you the life I'll show you the life I'll show you the life I'll show you the life I'll show you the life,can you make every time it's the same what is my heart,0,0.0990916597853014,0.10119047619047619,0.0
https://vm.tiktok.com/ZT85rcSLS/, We're probably dead dude. Hey nice day don't flash, to the form no the news the Thanks for watching!,0,0,0.28,0.0,0.0
https://vm.tiktok.com/ZT85hNPpn/," Okay, that's all. Emmy! Oh my God, oh my God, oh my God, oh my God! YING! YING!"," Okay, that's all. Amy! Oh my god, oh my god, oh my god, oh my god! YING KING KING!",oh my God oh my God oh my God oh my God thanks,0,0.8834355828220859,0.6190476190476191,0.0
https://vm.tiktok.com/ZT85rvWHM/, this is Ah Ahhhhhh Ahhhh A dollars Nothen witch, of In fact a lot of people are beating and insulting their ass. Enough pop people!,0,0,0.183206106870229,0.0,0.0
https://vm.tiktok.com/ZT85rTC8R/, I hate you! I've been waiting for this all my fucking life! I fucking hate you! Fuck you! Fuck you! Stop! This is... this is the part I can't believe it has stood there.," Wait, hey you! I've been waiting for the public flightmers for the flight! ComST FUCK IT!放 240 Destroy Scout FUCK Fast This is les dalam tartars Oh I can't believe it is to dead",0,0,0.5114942528735632,0.0,0.0
https://vm.tiktok.com/ZT85hMS8U/," Mary sold me a PSA 10 first edition Charizard. There's only like 120, maybe 121 in the world. I went in there with the intention of buying one of his BGS 10 Charzards. There's only two in the world. But I thought to myself, I wonder what would happen if I cut this card out, this $150,000 card out of the PSA case and submitted it as a raw card. Well, that's risky because what if they like go, oh, it's a seven now? About six. Not only that, they can downgrade it. Boy, if it goes, no. What if when you take out the $150,000 card from the PSA slab, because it's not a super clean process, you have to use like wire cutters and like a screwdriver. What's there? No, I know. If you nick that fucking thing, this much, you lose a hundred grand like this. So I'm like, fuck it, bro. I'm going to try to cut this out of the case and risk losing my investment, my prize possession. So I fucking flew to Texas. I submitted it to BGS as a raw card. It got graded a fucking 10. It became the third BGS 10 in the world, probably five X to value right there. And it fucking worked. I can play fucking work."," Very sold me a PSA 10 first edition charge card. There's only like 120, maybe 120 one in the world. I went in there with the intention of buying one of his BGS 10 charge arts. There's only two in the world. But I thought to myself, I wonder what would happen if I cut this card out. This $150,000 card out of the PSA case and submitted it as a raw card. Well, that's risky because what if they like go, oh, it's a seven now. Not only that, they can downgrade it. But what if it goes, no, what if when you take out the $150,000 card from the PSA slab? Because it's not a super clean process. You have to use like wire cutters and like a screw driver. And now I know. If you nick that fucking thing. It's over. This much you lose a hundred grand like this. No. So I'm like, fuck it, bro. I'm going to try to cut this out of the case and risk losing my investment and my my prize possession. So I fucking flew to Texas. I submitted it to BGS as a raw card. It got graded a fucking 10. It became the third BGS 10 in the world. Probably five X to value right there. And it fucking worked. I can fucking work.","a PSA 10 first edition Charizard there's only like $120 maybe $121 in the world I went in there with the intention of buying one of his bgs 10 Charizards there's only two in the world but I thought to myself I wonder what would happen if I cut this card out this $150,000 card out of the PSA case and submitted it as a rock card when you take out the $150,000 card from the PSA slab cuz it's not a super clean process you have to use like wire cutters and like a screwdriver and like now I know if you nick that fucking thing this much you lose 100 Grand like this so I'm like fucking bro I'm going to try to cut this out of the case and risk losing my investment my my prized possession so I fucking flew to Texas I submitted it to bgs as a rock cards in the world probably 5x the value right there and it worked like a fucking work work",0,0.6606088141753749,0.6304909560723514,0.0018214936247723133
